datetime,avg cpu reading,max cpu reading,avg cpu VMTable,max cpu VMTable,p95_max_cpu,core count,memory (gb)
2016-11-21 12:55:00,1237016.0095449782,2253021.8985229856,656194.4585151138,4510899.978450015,2362268.6167250094,129755,332888.0
2016-11-21 13:00:00,1216059.188545992,2212491.699698993,656164.843978041,4508126.798098017,2357697.6015720083,129537,333343.0
2016-11-21 13:05:00,1217299.381370996,2213217.272207028,656549.2443769732,4495829.684268021,2346845.844889006,128666,331750.5
2016-11-21 13:10:00,1216905.6529400218,2212436.912474016,656880.3809963318,4493224.985810018,2343832.5428010016,128327,331275.75
2016-11-21 13:15:00,1217989.967772015,2224022.087114984,660404.982856951,4500236.185427019,2351828.1147860037,128692,331893.5
2016-11-21 13:20:00,1225231.8504919757,2219482.706019995,662807.6807398372,4512334.778187018,2362232.569199005,129238,332761.0
2016-11-21 13:25:00,1253611.163322982,2301221.881362992,662870.8104657625,4505892.550748021,2355325.442825003,128166,330765.0
2016-11-21 13:30:00,1239024.9794459925,2248760.2063830057,670109.4397514682,4537403.673289021,2383449.7974180058,129794,331586.0
2016-11-21 13:35:00,1232799.8965629928,2250569.9191910448,672868.7922903695,4542441.359115025,2386517.113534008,129641,331083.25
2016-11-21 13:40:00,1239841.2459750073,2250994.4838270065,675795.4511392682,4553049.481731024,2395455.8029220058,130203,333024.75
2016-11-21 13:45:00,1241048.882714001,2247932.702829021,677177.7013113303,4551889.018404024,2394354.118750008,129550,331812.0
2016-11-21 13:50:00,1243180.3076769733,2265211.241412027,683553.2755143474,4574022.74751502,2412742.496393007,130521,333298.25
2016-11-21 13:55:00,1267755.9963590002,2304936.2814800264,684454.7125705266,4579124.478480017,2416600.2521280088,131270,334732.0
2016-11-21 14:00:00,1268361.4638699968,2284891.3237390216,684147.8713114968,4575324.463644018,2413374.0504830056,131313,334600.25
2016-11-21 14:05:00,1265827.772680998,2295984.002151004,687574.566149945,4590429.873033023,2422512.235769005,131864,335688.5
2016-11-21 14:10:00,1265966.283664012,2308576.0151250013,688892.4108173295,4592251.085498024,2424064.668402004,131738,334166.0
2016-11-21 14:15:00,1261545.74300498,2271963.112069054,689080.047352312,4595628.418977018,2423983.758730007,132184,335001.5
2016-11-21 14:20:00,1251509.9133270043,2274028.437708956,691255.6119883254,4605810.2634810135,2430071.3024670067,132896,337464.5
2016-11-21 14:25:00,1299747.8513200178,2448476.2562410417,696975.7469146558,4624746.621884007,2448901.7495990065,134098,339521.0
2016-11-21 14:30:00,1284304.8209119898,2321533.1121699847,700853.6905988122,4642118.052134998,2462155.908631009,135363,343186.75
2016-11-21 14:35:00,1287180.9193490278,2324853.8631359884,704876.7720066197,4657165.267475006,2472205.806100009,135342,344494.0
2016-11-21 14:40:00,1277818.029296975,2342179.8217600044,709286.4431541614,4671827.257559002,2484468.3406320103,136045,346052.25
2016-11-21 14:45:00,1285346.1354049903,2327210.097676982,713160.3932971921,4682256.305868003,2492840.102533012,136368,346753.5
2016-11-21 14:50:00,1286893.348003019,2317914.8315220024,716519.9828407428,4696771.913435999,2503110.319729015,136617,346916.25
2016-11-21 14:55:00,1306938.6846670029,2391135.371038045,718745.6296383331,4702315.244402,2506464.8721580147,136337,344698.25
2016-11-21 15:00:00,1324626.4819800125,2391824.1372409887,727299.0596677596,4756834.6110259965,2544086.950159017,139183,349575.25
2016-11-21 15:05:00,1320764.3907010152,2377847.197460032,728127.1779376233,4759842.287936999,2547490.064890019,139381,349840.75
2016-11-21 15:10:00,1297469.21480499,2371233.742304999,727710.7279420496,4741981.95325002,2527891.909461014,137431,344966.25
2016-11-21 15:15:00,1299287.7095930092,2352355.807408994,730583.9298319735,4758734.527843007,2541597.795921015,138677,347457.75
2016-11-21 15:20:00,1296800.100099018,2319425.5355770187,732638.2877745248,4764646.311162997,2547539.6130080167,139096,347526.0
2016-11-21 15:25:00,1312617.4287430234,2396193.832157002,732867.2085924706,4760518.729484003,2542178.501469015,138765,345815.5
2016-11-21 15:30:00,1295273.5692289914,2335245.0388689814,731505.4929315404,4755939.248262003,2536163.159852009,138159,346070.5
2016-11-21 15:35:00,1299844.047348982,2354080.38081299,732567.3303700535,4764683.507694999,2542608.751595011,138664,348890.25
2016-11-21 15:40:00,1311380.019049994,2383266.429402033,742136.269128594,4808417.412848996,2583207.0222790134,140841,351839.0
